name,image,batting_style,bowling_style,playing_role,description
Suyash S Prabhudessai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/374200/374264.png",Right hand Bat,Right arm Medium,Batting Allrounder,
Akash Deep,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356814.1.png",Right hand Bat,Right arm Fast medium,Bowler,"Akash Deep's is the ideal story of how years of toil gets you a dream Test debut where Rahul Dravid hands you the cap, and in the first hour of the game, you run through the opposition's top order. Hailing from Sasaram in Bihar, Akash was initially dissuaded to play cricket by his father, but he left for Durgapur, West Bengal, in 2010 with the pretext of finding a job and found support from his uncle to join a local cricket academy. Soon, he started gaining prominence for his pace, but Akash was struck by family tragedies, when he lost his father and older brother within the space of two months. That forced him to leave the game for three years."
Mayank J Dagar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/393900/393972.png",Right hand Bat,Slow Left arm Orthodox,Bowler,
Lachlan Hammond Ferguson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383174.1.png",Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. A sporadic presence in the Auckland side in his first two first-class seasons, Ferguson broke through in 2014-15 with 21 wickets at 23.38. He took 31 the following year, and 117 in all in the four seasons through to 2017-18. He also enjoyed success in the List A side in this period."
Alzarri Shaheim Joseph,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.1.png",Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Mohammed Siraj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322611.1.png",Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up."
Rajan Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359762.1.png",Left hand Bat,Left arm Medium fast,Bowler,
Himanshu Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357624.4.jpg",Right hand Bat,Legbreak,Bowler,
Karn Vinod Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324200/324221.1.png",Left hand Bat,Legbreak Googly,Bowler,"After Praveen Kumar and Bhuvneshwar Kumar, legspinner Karn Sharma became the third cricketer to hit the headlines from the small western Uttar Pradesh town of Meerut when he bagged a Rs 3.75 crore from Sunrisers Hyderabad in the 2014 IPL auction. It was the highest amount earned by a domestic uncapped player in the auction, and was reward for a solid season with Sunrisers in 2013, when he grabbed 11 wickets in 13 matches at an economy rate of 6.60. He formed a potent combination with India legspinner Amit Mishra as Sunrisers beat expectations to reach the semi-finals in their first season."
Swapnil Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/384200/384254.1.png",Right hand Bat,Slow Left arm Orthodox,Bowler,"Swapnil Singh's career has been a rollercoaster. The left-arm-spin-bowling allrounder was part of India's 25 probables for the 2008 Under-19 World Cup, but ultimately did not make the squad for Malaysia. However, he made his first-class debut for Baroda at the age of 14 years and 355 days. Over the next ten years, he played just 76 domestic matches, of which 31 came during the 2014-15 and 2015-16 seasons. Swapnil claimed 6 for 19, the second-best bowling figures in the Syed Mushtaq Ali T20 tournament, and was later bought for INR 10 lakhs by the erstwhile Kings XI Punjab (now Punjab Kings) at the 2016 IPL auction. Under Glenn Maxwell's captaincy at PBKS, he made his IPL debut, with a maiden wicket of MS Dhoni. Later, he was with Lucknow Super Giants during IPL 2023, while in IPL 2024, Swapnil played six league games with his new team Royal Challengers Bengaluru. His tidy bowling helped RCB win their last six matches to qualify for the playoffs. Domestically, Swapnil has moved from Baroda to Uttarakhand."
Reece James William Topley,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383150.1.png",Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again. That four years on Topley is regarded as a vital part of England's white ball plans, as a left-armer who deliveries from a great height, speaks of his mental fortitude. In 2022, he grew in both white ball codes at international level, registering the best ODI figures for an Englishman with 6 for 34 against India at Lord's. A sucker-punch came on the eve of that year's T20 World Cup when he rolled his left ankle, rupturing the ligaments, after stepping on a boundary sponge during a fielding drill ahead of England's final warm-up match. He was subsequently ruled out of the tournament."
Vijaykumar Vyshak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390600/390654.2.png",Right hand Bat,Right arm Medium,Bowler,
Yash Dayal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387500/387586.4.png",Right hand Bat,Left arm Medium fast,Bowler,
Abdul Samad Farooq,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339145.1.png",Right hand Bat,Legbreak,Batter,
Mayank Anurag Agarawal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391200/391289.2.png",Right hand Bat,Right arm Offbreak,Batter,"A prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009. Agarwal was a bright spot in an otherwise disappointing Under-19 World Cup for India in 2010, top-scoring for his side in the tournament. Agarwal then graduated to the India A sides, but struggled for consistency. Initially pigeonholed as a limited-overs specialist, Agarwal made his Ranji Trophy debut for Karnataka in the 2013-14 season; he made his T20 debut in 2010-11 and List A debut in 2011-12."
Anmolpreet Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358038.1.png",Right hand Bat,Right arm Offbreak,Batter,
Travis Michael Head,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321584.2.png",Left hand Bat,Right arm Offbreak,Top order Batter,"A talented, aggressive left-hand batter earmarked for big things at a young age, it was Travis Head's second coming as an international cricketer where his career really took off. In late 2021 he was recalled for the Ashes series and made a match-defining 85-ball century at the Gabba - it set the tone for a strong of destructive Test innings while he also reemerged as a white-ball force, so central to Australia's 2023 ODI World Cup plans that they waited for him to recover from a broken hand. In the final against India he made 137 off 120 balls. A cult hero was born."
Heinrich Klaasen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322073.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. Schooled at Menlopark High School and the University of Pretoria, Klaasen made his first-class debut for Northerns in the 2012-13 season and averaged 42.58 in the provincial three-day cup. He scored his first franchise hundred in February 2017: 195 to help Titans beat Dolphins in the penultimate round of the first-class competition."
Rahul Ajay Tripathi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356821.1.png",Right hand Bat,Right arm Medium,Top order Batter,"A technically correct middle-order batter, Rahul Tripathi came to the game in the footsteps of his father, an army man who in his time turned out for Uttar Pradesh in junior cricket and also played at university level. After his father was transferred to Pune in the course of his service, Tripathi cut his teeth at Deccan Gymkhana, one of the oldest clubs in the city, and got his start in domestic cricket with Maharashtra in 2012. In the two seasons starting 2014-15, he made just north of 1000 runs for them at 40 from 17 games. A few seasons on, he was the side's top scorer in the Ranji Trophy in 2018-19, with 504 runs."
Upendra Diwansingh Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389900/389973.2.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Abhishek Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358037.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Abhishek Sharma IPL factfile - Abhishek Sharma was signed by Delhi Daredevils as a 17-year-old in 2018, a week before India's Under-19 squad, of which he was a part, won the World Cup in New Zealand. - He blitzed 46 off 19 balls on his IPL debut against RCB but spent only one season at Delhi, before joining Sunrisers Hyderabad in 2019, where he has remained ever since."
Marco Jansen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/337100/337189.1.png",Right hand Bat,Left arm Fast,Bowling Allrounder,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. Jansen went on to tour India with South Africa's Under-19 side in 2019 and, that season, was the leading wicket-taker for North West in the three-day provincial competition. He travelled with South Africa's Test squad to Pakistan in early 2021 and was signed by Mumbai Indians for the IPL. Jansen made his Test debut against India in the Boxing Day Test in 2021, and became the first player born in the 2000s to be capped for the national side."
Aiden Kyle Markram,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322067.1.png",Right hand Bat,Right arm Offbreak,Allrounder,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. He did well against tougher opposition as well, making 94 in a comprehensive win over India in Centurion in January 2018 and two big hundreds against Australia in the contentious Sandpapergate series two months later. But overseas success took a while to come - after disappointing tours of India and Sri Lanka, Markram made his first away Test hundred in a second-innings effort in Rawalpindi in February 2021, showing he had the technique to navigate pitches that turned and stayed low. His 108 gave South Africa a fighting chance, but they eventually lost the series 2-0."
Kaki Nitish Kumar Reddy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390600/390655.2.png",Right hand Bat,Right arm Medium fast,Batting Allrounder,"Nitish Kumar Reddy first made headlines when he started the 2017-18 Vijay Merchant Trophy with a triple-century for Andhra, followed by a 345-ball 441 against Nagaland. His 1237 runs there at an average of 176.41 still remains the record highest tally in the tournament's history, and earned him the BCCI's award for best U-16 cricketer that season. As he developed his bowling as a seamer, he also took the new ball for Andhra in senior domestic cricket, and his all-round skills earned the interest of Sunrisers Hyderabad in the IPL. Before the 2023 IPL season, he was bought by SRH for INR 20 lakhs, but in his debut season, bowled five wicketless overs across two games while not getting to bat. However, in IPL 2024, his exploits earned SRH crucial victories in their run to the playoffs; his 64 against Punjab Kings helped SRH win by one run, while his unbeaten 76 against Rajasthan Royals ensured a two-run win."
Glenn Dominic Phillips,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.1.png",Right hand Bat,Right arm Offbreak,Allrounder,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well. Although he made his T20I debut for New Zealand in 2017, he only cemented his place in the white-ball sides in 2020, using regular appearances in the CPL to hone his skills. In November 2020 against West Indies, he scored a 46-ball T20I century, then the fastest for a New Zealander, and he finished 2021 with the most sixes in T20s that year. Batting primarily in the middle order, Phillips was instrumental in New Zealand's run to the 2021 T20 World Cup final, and played an unforgettable innings in the 2022 edition - a 64-ball 104 against Sri Lanka in a match in which the other 19 batters combined to score 149 runs off the bat. He kicked off 2023 with a counterattacking half-century from No. 7 against Pakistan that clinched New Zealand's first ODI series win in the subcontinent since 2008."
Sanvir Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359765.1.png",Right hand Bat,Right arm Medium,Allrounder,
Shahbaz Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340313.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Shahbaz Ahmed was born in Mewat, Haryana, the most backward district in India according to a government report in 2018. He started as a batter, playing local cricket in and around Mewat, but the opportunities were limited. In 2015, he moved to Kolkata to try his luck in club cricket. That is where he developed his left-arm spin and transformed himself into an allrounder. Based on his performances in club cricket, Shahbaz was picked for Bengal for the 2018-19 season. But his open stance, which had brought him success at the lower level, proved to be a weakness, especially in red-ball cricket. He was dropped after just two Ranji Trophy games but made a solid comeback next season, scoring 509 runs and taking 35 wickets in his side's run to the final."
Washington Sundar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322619.1.png",Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final. Sundar's father, a cricketer who made it to the Tamil Nadu Ranji probables without getting into the final squad, named him Washington to honour his godfather, Mr Washington, who would buy bats for him and pay his fees. Sundar loved to bowl but only in matches because he found it boring to just field. He eventually started to take it seriously under the eye of former India offspiner M Venkataramana. Sundar bowls with great discipline, and held his own in domestic one-day competitions and after making his Twenty20 debut as a 17-year-old in the IPL."
Pinnaduwage Wanindu Hasaranga de Silva,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Right hand Bat,Legbreak,Allrounder,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career. Though it was his bowling that largely impressed at the Under-19 level - he claimed a particularly impactful 3 for 34 in the 2016 Youth World Cup quarter-final against England - batting was Hasaranga's stronger suit in his first two seasons of senior cricket. Hasaranga made a rapid 87 on first-class debut with Ports Authority Cricket Club, and, having switched to Colombo Cricket Club, hit 586 runs at an average of 39.06 and a strike rate of 93 in the 2017 Premier League Tournament."
Patrick James Cummins,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390954.5.png",Right hand Bat,Right arm Fast,Bowler,"Pat Cummins player profile Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances. By 2023 he had led the team to the World Test Championship and ODI World Cup."
Akash Maharaj Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315007.jpg",Right hand Bat,Left arm Medium fast,Bowler,
Fazalhaq Farooqi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383236.1.png",Right hand Bat,Left arm Fast medium,Bowler,"A left-arm quick who can swing the ball both ways at pace, it didn't take Fazalhaq Farooqi long to become the leader of Afghanistan's pace attack in white-ball cricket after he made his international debut in 2021. Farooqi is now the go-to man with the new ball for Afghanistan, and most teams that he represents in franchise leagues around the globe. After working with Dwayne Bravo across franchises as well as during his stint as Afghanistan's fast-bowling consultant, Farooqi has developed his death-bowling skills to become a potent weapon."
Bhuvneshwar Kumar Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392400/392400.2.png",Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013. Bhuvneshwar demonstrated his mastery of line and length early, when at 19 he worked Sachin Tendulkar over for his first duck in domestic first-class cricket, in the 2008-09 Ranji Trophy final. He was handy with the bat too - in the 2012-13 Duleep Trophy semi-final he scored 128 batting at No. 8."
Mayank Markande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355403.1.png",Right hand Bat,Legbreak,Bowler,
Thangarasu Natarajan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322699.1.png",Left hand Bat,Left arm Medium,Bowler,
Jhathavedh Subramanyan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/361800/361882.6.png",Right hand Bat,Legbreak,Bowler,Named Player of the Tournament at the 2014 ACC Under-16 Elite Cup played in Qatar.
Umran Malik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/343200/343263.1.png",Right hand Bat,Right arm Fast,Bowler,"Umran Malik burst onto the scene in 2021 when he clocked 150kph for Sunrisers Hyderabad on his IPL debut. A product of tennis-ball cricket, Malik did not even know there existed shoes with spikes for fast bowlers until he went for his first Under-19 trial. He had played just one List A match and one T20 when he joined SRH as a short-term Covid replacement for T Natarajan. He got his chance only after SRH were out of the race for the playoffs. He made an immediate impact and, despite playing just three games that season, was retained by SRH ahead of the IPL 2022 mega auction."
Jaydev Dipakbhai Unadkat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386332.5.png",Right hand Bat,Left arm Medium,Bowler,"A left-arm fast bowler, Jaydev Unadkat led India Under-19s' attack in the 2010 World Cup in New Zealand. He was first spotted at the Duleep Sinh School of Cricket in Porbandar, where he impressed his coach Ram Odedra with his bowling action and ability to land the ball on the seam. After the World Cup, Unadkat was handed an IPL contract with Kolkata Knight Riders and he impressed the bowling coach Wasim Akram, who identified him as one for the future. He was picked for India A's tour of England in June 2010 and had a dream first-class debut, taking a match-winning 13 for 103 against West Indies A at Grace Road. A month later, he joined the Indian Test squad in Sri Lanka as a nets bowler and was included in the squad for the year-end tour of South Africa, where he made his Test debut at Centurion. However, it was a forgettable one, as he went wicketless in 26 overs for 101 runs. He was duly dropped from the Test team, and made a return to the domestic circuit. A significant breakthrough came during India's A tour of New Zealand in 2012-13, where he picked up nine List-A wickets at an average of 15.77 with two four-wicket hauls. He then enjoyed a largely successful campaign with Royal Challengers Bangalore, finishing joint-second on the team's wicket-takers list. His consistent performances helped him gain selection for India's tour of Zimbabwe in July 2013, where he made his ODI debut. It proved a largely successful trip, as he picked up eight wickets in five matches. He later played two more ODIs in the upcoming home season - against Australia and West Indies - but went wicketless in both."
Vijayakanth Viyaskanth,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392173.2.png",Right hand Bat,Legbreak,Bowler,"Legspinner Vijaykanth Viyaskanth first rose to prominence in December 2020, when he became the youngest player at 18 years and 364 days to feature in the Lanka Premier League for Jaffna Stallions. In that tournament, he also became the first born-and-bred player from Jaffna, in Sri Lanka's northern tip and once the epicentre of a three-decade-long civil war, to appear in an internationally televised game. He made his Sri Lanka debut at the Asian Games in Hangzhou. He also impressed with eight wickets in four outings at an economy of 5.43 for title winners MI Emirates in the ILT20 tournament. He has also represented Chattogram Challengers in the Bangladesh Premier League."
